id,Event_Text,url,url_id
1,"Jul 23, 2021 at 9:00 AM CDT Second Quarter 2021 Earnings",https://investor.kimberly-clark.com/events-and-presentations/events,4
2,"Oct 25, 2021 at 9:00 AM CDT Third Quarter 2021 Earnings",https://investor.kimberly-clark.com/events-and-presentations/events,4
3,"Jun 3, 2021 at 10:00 AM CDT Bernstein’s 2021 Strategic Decisions Conference Click here for webcast Printable Slides",https://investor.kimberly-clark.com/events-and-presentations/events,4
4,"Apr 29, 2021 at 9:00 AM CDT 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting\nEvent Password: KMB2021 Inspection of Stockholder List",https://investor.kimberly-clark.com/events-and-presentations/events,4
5,"Apr 23, 2021 at 9:00 AM CDT First Quarter 2021 Earnings Click here for webcast KMB 1Q 2021 Earnings Press Release KMB 1Q 2021 Prepared Management Remarks",https://investor.kimberly-clark.com/events-and-presentations/events,4
6,"June 15, 2021 11:55 AM ET Credit Suisse 23rd Annual Communications Conference",https://investors.switch.com/events-and-presentations,6
7,"June 09, 2021 3:20 PM ET   Stifel 2021 Cross Sector Insight Conference  ",https://investors.switch.com/events-and-presentations,6
8,"June 02, 2021 3:50 PM ET   Cowen 49th Annual Technology, Media & Telecom Conference  ",https://investors.switch.com/events-and-presentations,6
9,"June 01, 2021 3:00 PM ET   William Blair 41st Annual Growth Stock Conference  ",https://investors.switch.com/events-and-presentations,6
10,"May 25, 2021     RBC Capital Markets Global Datacenter, Cloud and Broadband Infrastructure Conference  ",https://investors.switch.com/events-and-presentations,6
11,06.23.21 10:20 AM EDT Jefferies Virtual Consumer Conference Presentation Supporting Materials Jefferies Virtual Consumer Conference Presentation,https://investors.guess.com/events-and-presentations/upcoming-events,42
12,"June 29, 2021 4:30 PM EDT Iovance Biotherapeutics Update Call",https://ir.iovance.com/investor-calendar,48
13,"June 17, 2021 2:00 PM EDT JMP Securities Life Sciences Conference",https://ir.iovance.com/investor-calendar,48
14,"June 06, 2021 12:00 PM EDT ASCO Update Call",https://ir.iovance.com/investor-calendar,48
